id,gender,username,name,image_name,image_uuid,positive,neutral,negative
226392,F,harper.hill,harper.hill,harper.hill.jpg,92-5606-743552,"['ava.taylor', 'olivia.brown', 'isabella.moore', 'liam.jones', 'ella.nelson', 'evelyn.scott', 'logan.lewis', 'sophia.hall', 'james.martin']","['abigail.phillips', 'lucas.thomas', 'mason.harris']","['mia.anderson', 'henry.carter', 'michael.baker', 'emma.smith', 'amelia.clark', 'grace.ward']"
503930,F,ava.taylor,ava.taylor,ava.taylor.jpg,99-8840-781440,"['mia.anderson', 'mason.harris', 'abigail.phillips', 'henry.carter', 'james.martin']","['logan.lewis', 'liam.jones', 'olivia.brown', 'michael.baker', 'evelyn.scott', 'ella.nelson', 'amelia.clark', 'lucas.thomas', 'isabella.moore', 'emma.smith']","['sophia.hall', 'grace.ward']"
894759,F,olivia.brown,olivia.brown,olivia.brown.jpg,71-4569-584591,"['liam.jones', 'lucas.thomas', 'ella.nelson', 'logan.lewis', 'henry.carter', 'sophia.hall', 'james.martin']","['isabella.moore', 'mason.harris', 'mia.anderson', 'michael.baker', 'abigail.phillips', 'grace.ward', 'emma.smith']","['evelyn.scott', 'amelia.clark']"
649972,F,amelia.clark,amelia.clark,amelia.clark.jpg,50-2252-352967,"['mia.anderson', 'michael.baker', 'emma.smith', 'ella.nelson', 'grace.ward', 'logan.lewis', 'henry.carter', 'sophia.hall']","['lucas.thomas', 'isabella.moore']","['mason.harris', 'liam.jones', 'james.martin', 'evelyn.scott', 'abigail.phillips']"
372468,F,mia.anderson,mia.anderson,mia.anderson.jpg,87-9397-422746,"['abigail.phillips', 'michael.baker', 'lucas.thomas', 'ella.nelson', 'evelyn.scott']","['james.martin', 'henry.carter', 'liam.jones', 'sophia.hall', 'mason.harris']","['logan.lewis', 'grace.ward', 'emma.smith', 'isabella.moore']"
100995,M,mason.harris,mason.harris,mason.harris.jpg,91-2531-544401,"['abigail.phillips', 'liam.jones', 'michael.baker', 'grace.ward', 'evelyn.scott', 'henry.carter', 'sophia.hall']","['ella.nelson', 'emma.smith', 'isabella.moore']","['logan.lewis', 'lucas.thomas', 'james.martin']"
143857,F,isabella.moore,isabella.moore,isabella.moore.jpg,25-5977-489657,"['liam.jones', 'sophia.hall', 'james.martin']","['henry.carter', 'abigail.phillips', 'grace.ward', 'michael.baker', 'ella.nelson', 'evelyn.scott']","['lucas.thomas', 'emma.smith', 'logan.lewis']"
608626,F,abigail.phillips,abigail.phillips,abigail.phillips.jpg,33-9304-795642,"['liam.jones', 'michael.baker', 'emma.smith']","['james.martin', 'grace.ward', 'lucas.thomas', 'sophia.hall', 'logan.lewis']","['henry.carter', 'ella.nelson', 'evelyn.scott']"
101031,M,liam.jones,liam.jones,liam.jones.jpg,55-6412-850541,"['michael.baker', 'lucas.thomas', 'grace.ward', 'evelyn.scott', 'sophia.hall']","['emma.smith', 'james.martin', 'henry.carter', 'logan.lewis']",['ella.nelson']
966640,M,michael.baker,michael.baker,michael.baker.jpg,73-8369-764070,"['lucas.thomas', 'emma.smith', 'ella.nelson', 'evelyn.scott', 'sophia.hall']","['logan.lewis', 'james.martin', 'henry.carter']",['grace.ward']
246102,M,lucas.thomas,lucas.thomas,lucas.thomas.jpg,32-3475-408204,"['ella.nelson', 'grace.ward', 'evelyn.scott', 'logan.lewis', 'sophia.hall', 'james.martin']","['emma.smith', 'henry.carter']",[]
361226,F,emma.smith,emma.smith,emma.smith.jpg,81-5204-375815,"['ella.nelson', 'grace.ward', 'james.martin']","['evelyn.scott', 'logan.lewis', 'sophia.hall', 'henry.carter']",[]
728550,F,ella.nelson,ella.nelson,ella.nelson.jpg,10-5065-362438,"['henry.carter', 'sophia.hall']","['grace.ward', 'james.martin', 'evelyn.scott']",['logan.lewis']
640340,F,grace.ward,grace.ward,grace.ward.jpg,16-4434-238312,"['henry.carter', 'sophia.hall', 'james.martin']","['evelyn.scott', 'logan.lewis']",[]
617629,F,evelyn.scott,evelyn.scott,evelyn.scott.jpg,35-9243-907336,"['logan.lewis', 'henry.carter', 'james.martin']",[],['sophia.hall']
325065,M,logan.lewis,logan.lewis,logan.lewis.jpg,78-7113-418215,['henry.carter'],"['james.martin', 'sophia.hall']",[]
863417,M,henry.carter,henry.carter,henry.carter.jpg,63-5576-316090,['james.martin'],['sophia.hall'],[]
385455,F,sophia.hall,sophia.hall,sophia.hall.jpg,80-4369-340875,['james.martin'],[],[]
575209,M,james.martin,james.martin,james.martin.jpg,21-9151-920987,[],[],[]
954088,F,chloe.roberts,chloe.roberts,chloe.roberts.jpg,84-8462-658939,"['daniel.evans', 'jackson.reed', 'charlotte.white', 'alexander.adams', 'amelia.clark', 'mia.anderson', 'abigail.phillips', 'ella.nelson', 'evelyn.scott', 'logan.lewis', 'henry.carter', 'sophia.hall']","['emma.smith', 'noah.wilson', 'benjamin.walker', 'grace.ward', 'william.wright', 'james.martin', 'lucas.thomas', 'olivia.brown', 'ava.taylor', 'ethan.king']","['elijah.jackson', 'aria.green', 'harper.hill', 'isabella.moore', 'mason.harris', 'michael.baker', 'liam.jones']"
